date,time,open,high,low,close,tick_volume,spread,real_volume
2023-01-20 07:10:00,1674166200,20994.638,21006.538,20979.138,21005.538,259,2424,0
2023-01-20 07:20:00,1674166800,21005.538,21017.238,20965.238,20990.438,303,2424,0
2023-01-20 07:30:00,1674167400,20990.438,21025.338,20990.438,21016.938,254,2424,0
2023-01-20 07:40:00,1674168000,21016.938,21063.838,21011.838,21031.938,186,2424,0
2023-01-20 07:50:00,1674168600,21031.938,21081.138,21028.346,21061.041,303,2424,0
2023-01-20 08:00:00,1674169200,21060.553,21071.838,21030.138,21035.396,235,2424,0
2023-01-20 08:10:00,1674169800,21036.216,21046.738,21011.838,21023.638,189,2424,0
2023-01-20 08:20:00,1674170400,21023.638,21061.038,21016.509,21058.138,190,2424,0
2023-01-20 08:30:00,1674171000,21058.138,21086.838,21049.238,21054.638,268,2424,0
2023-01-20 08:40:00,1674171600,21054.638,21071.838,21040.638,21055.462,165,2424,0
2023-01-20 08:50:00,1674172200,21055.538,21120.338,21055.538,21067.138,267,2424,0
2023-01-20 09:00:00,1674172800,21067.138,21093.938,21052.338,21055.638,296,2424,0
2023-01-20 09:10:00,1674173400,21055.638,21075.038,21028.453,21046.338,308,2424,0
2023-01-20 09:20:00,1674174000,21046.338,21109.038,21038.838,21098.838,257,2424,0
2023-01-20 09:30:00,1674174600,21098.838,21117.138,21062.638,21069.238,282,2424,0
2023-01-20 09:40:00,1674175200,21069.238,21077.738,21024.638,21037.838,227,2424,0
2023-01-20 09:50:00,1674175800,21036.538,21070.038,21029.738,21051.338,105,2424,0
2023-01-20 10:00:00,1674176400,21051.338,21054.138,21010.638,21028.138,194,2424,0
2023-01-20 10:10:00,1674177000,21028.138,21064.838,21028.138,21061.938,237,2424,0
2023-01-20 10:20:00,1674177600,21061.938,21146.738,21058.862,21125.338,323,2424,0
2023-01-20 10:30:00,1674178200,21128.038,21128.438,21087.038,21091.638,217,2424,0
2023-01-20 10:40:00,1674178800,21091.638,21108.738,21091.338,21106.538,94,2424,0
2023-01-20 10:50:00,1674179400,21104.962,21128.638,21096.168,21114.02,161,2424,0
2023-01-20 11:00:00,1674180000,21112.424,21144.138,21103.738,21114.738,236,2424,0
2023-01-20 11:10:00,1674180600,21114.738,21155.338,21093.938,21155.338,262,2424,0
2023-01-20 11:20:00,1674181200,21158.638,21177.538,21134.938,21167.138,318,2424,0
2023-01-20 11:30:00,1674181800,21167.138,21214.538,21110.838,21121.438,395,2424,0
2023-01-20 11:40:00,1674182400,21121.438,21122.938,21083.138,21105.338,325,2424,0
2023-01-20 11:50:00,1674183000,21105.338,21111.838,21075.938,21075.938,271,2424,0
2023-01-20 12:00:00,1674183600,21075.938,21113.038,21074.638,21099.838,165,2424,0
2023-01-20 12:10:00,1674184200,21099.838,21099.838,21056.938,21059.738,220,2424,0
2023-01-20 12:20:00,1674184800,21060.438,21102.638,21059.338,21094.938,236,2424,0
2023-01-20 12:30:00,1674185400,21094.938,21103.138,21074.838,21077.438,141,2424,0
2023-01-20 12:40:00,1674186000,21077.438,21112.038,21074.838,21095.938,195,2424,0
2023-01-20 12:50:00,1674186600,21095.938,21099.438,21071.738,21085.038,123,2424,0
2023-01-20 13:00:00,1674187200,21085.038,21092.438,21078.938,21080.338,135,2424,0
2023-01-20 13:10:00,1674187800,21080.338,21107.138,21080.338,21107.138,68,2424,0
2023-01-20 13:20:00,1674188400,21107.138,21123.738,21099.838,21120.338,92,2424,0
2023-01-20 13:30:00,1674189000,21120.338,21123.738,21074.738,21076.638,187,2424,0
2023-01-20 13:40:00,1674189600,21076.638,21076.638,21023.738,21046.638,351,2424,0
2023-01-20 13:50:00,1674190200,21045.238,21050.338,20965.838,20989.338,404,2424,0
2023-01-20 14:00:00,1674190800,20989.338,21011.738,20952.638,21003.838,345,2424,0
2023-01-20 14:10:00,1674191400,21003.838,21033.438,20994.238,21017.338,262,2424,0
2023-01-20 14:20:00,1674192000,21017.338,21017.338,20959.538,20977.538,274,2424,0
2023-01-20 14:30:00,1674192600,20977.538,20991.338,20955.296,20961.738,287,2424,0
2023-01-20 14:40:00,1674193200,20961.838,20990.538,20948.838,20985.438,238,2424,0
2023-01-20 14:50:00,1674193800,20985.438,21003.438,20971.204,20978.138,187,2424,0
